protocol,rate,expected_ms,packets,frame_changes,duplicates,backwards,parse_errors,mean_interval_ms,p95_interval_ms,p99_interval_ms,max_interval_ms,mean_abs_jitter_ms,p95_abs_jitter_ms,p99_abs_jitter_ms,max_abs_jitter_ms
artnet,0.950000,35.087719,17100,17100,0,0,0,35.087711,35.140250,35.163709,35.258750,0.024184,0.062261,0.083281,0.188177
sntc,0.950000,35.087719,17100,17100,0,0,0,35.087712,35.140417,35.163583,35.246917,0.024211,0.062344,0.084510,0.188886
midi-mtc-qf,0.950000,8.771930,68402,68401,0,0,0,8.771929,8.791125,8.807333,8.875292,0.007489,0.026138,0.039222,0.103362
smpte-ltc,0.950000,35.087719,17099,17098,0,0,0,35.087719,35.166667,35.166667,35.166667,0.032778,0.078947,0.078947,0.078947
artnet,1.000000,33.333333,18001,18001,0,0,0,33.333333,33.385709,33.410458,33.893250,0.024739,0.062167,0.083000,0.578958
sntc,1.000000,33.333333,18001,18001,0,0,0,33.333333,33.385541,33.409958,33.898709,0.024615,0.062083,0.082667,0.583958
midi-mtc-qf,1.000000,8.333333,72001,72000,0,0,0,8.333333,8.350917,8.367000,8.408709,0.007104,0.024834,0.039292,0.082917
smpte-ltc,1.000000,33.333333,17999,17998,0,0,0,33.333333,33.333333,33.333333,33.333333,0.000000,0.000000,0.000000,0.000000
artnet,1.050000,31.746032,18901,18901,0,0,0,31.746030,31.801417,31.826625,32.258666,0.025759,0.065051,0.087657,0.512634
sntc,1.050000,31.746032,18901,18901,0,0,0,31.746029,31.800958,31.826375,32.281875,0.025715,0.064991,0.087135,0.535843
midi-mtc-qf,1.050000,7.936508,75602,75601,0,0,0,7.936507,7.956167,7.972250,8.019084,0.007874,0.026800,0.040300,0.088175
smpte-ltc,1.050000,31.746032,18899,18898,0,0,0,31.746028,31.812500,31.812500,31.812500,0.029859,0.079365,0.079365,0.079365
